Year,Lifeexpectancy(men),Lifeexpectancy(women),Infantdeaths,Alcohol,Measles,BMI,Under-fivedeaths,Polio,Totalexpenditure,Diphtheria ,HIV/AIDS,GDP,Population
2000,85,61,85,54,9.69,51,71,46,57,1,94,6.7,93
2015,81,78,82,91,,49,46,99,19.4,61,91,,91
2014,78,70,82,75,0.01,19,22,343,18.8,63,91,4.96,91
2013,60,51,83,63,4.64,27,18,375,18.2,66,89,5.91,88
2012,68,80,91,57,4.75,25,33,7362,17.7,68,9,5.33,9
2011,54,70,66,65,4.51,20,61,860,17.1,71,9,5.17,91
2010,52,67,85,99,4.55,45,54,2511,16.6,74,9,7.17,91
2009,81,69,71,91,4.55,62,33,54118,16.1,77,91,7.41,92
2008,60,56,99,89,4.5,29,36,395,15.6,80,92,6.77,93
2007,67,52,58,68,4.58,51,75,12,15.1,83,93,6.63,89
2006,53,54,96,93,4.73,64,57,125,14.6,86,94,6.58,86
2005,52,62,96,60,4.88,21,19,253,14.2,89,94,6.87,82
2004,79,67,84,94,4.54,53,56,77,13.7,91,83,6.45,79
2003,66,63,78,70,4.58,35,36,2946,13.3,92,83,5.61,79
2002,74,61,84,56,4.53,73,46,1744,12.9,93,69,5.26,69
2001,81,62,61,100,4.56,50,44,4174,12.5,93,62,4.85,62
2000,50,50,75,65,3.71,69,35,6074,12.2,92,45,5.6,45
2015,84,73,93,55,,72,20,9,18.7,31,94,,94
2014,72,64,56,61,0.01,59,31,0,18.2,32,95,7.54,95
2013,80,68,63,83,0.01,57,33,0,17.6,32,96,8.3,96
2012,59,74,59,73,0.01,23,75,49,17.1,33,96,8.21,96
2011,80,84,55,51,4.16,53,24,129,16.6,33,95,8.58,96
2010,64,78,51,76,4.16,49,31,495,16.1,34,94,8.82,96
2009,52,54,88,52,4.05,58,39,305,15.7,34,96,6.96,94
2008,73,64,73,53,4.33,31,35,173,15.2,35,89,7.86,92
2007,51,60,63,56,4.54,23,28,43,14.8,36,93,1.3,99
2006,72,66,60,55,4.5,68,58,784,14.5,36,88,11.49,92
2005,56,74,98,70,5.54,62,41,0,14.1,37,82,9.84,87
2004,74,57,78,75,5.72,56,21,2,13.8,38,76,7.1,83
2003,80,67,73,54,5.84,55,24,224,13.5,38,75,5.25,82
2002,71,56,56,61,5.98,29,61,1016,13.3,39,74,5.15,81
2001,61,63,65,67,6.09,44,24,0,13,40,72,4.96,81
2000,78,67,58,78,6.61,38,28,18363,12.8,41,71,4.98,8
2015,53,69,50,98,,43,18,65,28,79,81,,83
2014,69,62,100,78,0.01,64,74,50,27.4,80,76,5.72,76
2013,75,83,85,67,3.15,60,39,48,26.8,81,79,5.81,8
2012,65,70,72,54,3.24,33,34,137,26.2,82,83,6.14,82
2011,81,67,86,80,3.13,39,66,628,25.6,83,58,6.42,62
2010,79,75,87,67,3.15,63,65,441,25,84,81,6.32,85
2009,59,67,89,54,2.92,64,31,183,24.4,84,77,6.41,81
2008,77,80,79,69,2.69,40,62,12,23.8,85,58,6.21,74
2007,63,53,73,72,2.58,45,22,5,23.2,87,75,6.35,76
2006,65,74,81,52,2.65,71,52,11,22.6,89,76,5.87,77
2005,77,77,78,62,3.11,44,59,115,22.1,90,87,5.39,76
2004,50,66,83,71,3.08,18,26,3466,21.5,91,76,5.24,67
2003,72,71,65,97,3.12,31,18,4770,2.9,92,68,4.65,61
2002,82,77,100,51,3.13,75,24,5882,2.4,93,7,4.47,64
2001,84,57,68,63,3.15,46,47,5790,19.9,94,7,4.85,66
2000,52,55,95,86,3.45,47,64,5729,19.4,95,66,6,65
2015,82,79,72,60,,75,28,0,31.3,0,93,,93
2014,63,68,75,97,0.01,33,67,0,3.5,0,95,4.76,95
2013,83,60,69,87,0.01,64,53,0,29.7,0,93,4.29,93
2012,84,60,77,69,0.01,74,50,0,29,0,94,4.61,94
2011,64,75,73,73,5.07,38,44,0,28.2,0,9,4.6,9
2010,71,62,55,75,4.75,20,41,0,27.5,0,99,4.83,99
2009,81,54,52,72,4.45,55,39,0,26.8,0,99,4.24,99
2008,80,70,64,93,4.16,71,48,0,26.2,0,99,3.96,99
2007,58,77,95,62,5.28,73,71,0,25.5,0,98,4.3,98
2006,61,58,98,69,4.25,53,66,0,24.9,0,97,5.11,96
2005,84,51,69,74,4.26,52,34,0,24.3,0,95,4.86,95
2004,54,79,55,66,4.19,70,72,0,23.7,0,94,5.6,93
2003,76,73,87,62,4.16,18,19,0,23.2,0,93,5,92
2002,74,71,82,60,3.82,64,59,0,22.6,0,92,5.17,91
2001,62,69,77,90,3.81,44,39,0,22.1,0,91,5.19,9
2000,85,68,73,83,3.49,29,37,2,21.5,0,9,4.81,9
2015,74,78,60,64,,40,74,0,19.6,12,87,,89
2014,64,50,72,95,0.01,43,35,0,18.9,12,87,5.68,88
2013,70,75,65,54,0.01,30,55,0,18.2,13,66,5.93,83
2012,53,78,100,59,0.01,23,44,15,17.6,14,84,6.24,86
2011,51,80,58,89,2.12,51,43,722,17,15,87,5.64,88
2010,62,63,52,92,2.2,46,69,1156,16.4,16,88,5.95,89
2009,76,54,56,95,2.13,43,34,4779,15.9,17,95,6.36,94
2008,59,83,79,76,2.24,46,36,4211,15.3,18,91,5.55,91
2007,50,72,98,90,2.08,71,75,394,14.8,20,82,3.75,82
2006,67,61,96,97,2.03,61,31,188,14.3,21,8,4.48,8
2005,84,81,70,65,1.99,27,74,264,13.9,22,82,5.84,82
2004,80,57,74,62,1.38,55,72,352,13.5,24,86,6.43,85
2003,76,50,87,50,1.44,64,63,653,13.1,26,69,6.74,69
2002,75,79,59,98,1.43,72,26,1361,12.8,29,54,5.95,54
2001,66,85,85,63,1.71,23,66,3761,12.4,33,59,5.7,6
2000,67,81,61,69,1.51,74,74,12237,12.1,36,62,5.87,59
2015,65,62,91,96,,22,59,1809,29,68,83,,84
2014,76,63,84,66,0.01,74,46,831,28.4,71,86,4.1,87
2013,65,68,63,100,0.01,35,57,760,27.8,73,88,4.29,89
2012,66,71,80,60,0.01,47,43,609,27.2,76,85,4.34,85
2011,66,74,85,99,6.19,65,66,504,26.6,79,8,3.96,82
2010,58,54,77,58,6.15,63,57,240,26,82,83,5.28,84
2009,60,81,69,79,5.89,69,45,251,25.4,85,79,5.7,8
2008,60,58,66,67,5.9,26,21,495,24.9,87,82,5.18,84
2007,69,58,94,97,5.44,63,66,100,24.4,89,81,4.76,82
2006,85,60,63,89,5.22,28,21,196,23.8,91,78,4.69,81
2005,80,70,68,81,5.03,55,61,605,23.3,93,79,4.75,8
2004,59,56,58,62,4.71,33,56,358,22.8,94,72,4.73,73
2003,53,50,97,82,4.64,35,35,899,22.3,95,72,4.97,73
2002,50,71,51,72,4.58,21,48,1448,21.8,97,66,4.86,66
2001,80,62,88,85,4.43,26,36,23934,21.3,99,61,4.7,63
2000,82,61,77,67,3.91,55,62,14629,2.9,100,57,4.48,62
2015,50,81,80,52,,25,59,195,67,2,91,,91
2014,54,59,78,82,8.1,32,29,418,66.4,2,91,1.45,91
2013,58,71,52,84,8.2,69,27,83,65.8,2,91,1.67,91
2012,61,54,93,66,8.3,56,36,10,65.3,2,99,1.78,95
2011,50,61,56,76,8.2,27,48,803,64.7,2,87,1.82,87
2010,56,76,50,71,8.4,34,74,99,64.1,2,88,11.2,89
2009,80,50,90,53,8.4,71,60,14,63.6,2,89,11.17,91
2008,74,85,77,64,8.3,36,30,62,63,2,89,1.3,92
2007,69,73,75,82,8.3,42,64,101,62.5,2,9,9.83,94
2006,61,62,69,87,8.2,45,61,13,61.9,2,95,9.75,95
2005,77,64,77,83,8,18,24,6,61.3,2,93,9.57,93
2004,51,67,71,91,7.8,51,62,7,6.6,2,91,9.56,91
2003,57,53,93,90,7.7,39,37,15,6,2,88,9.54,91
2002,73,60,67,91,7.7,30,44,6,59.3,2,88,9.37,88
2001,75,51,74,52,7.6,34,69,34,58.5,2,88,9.1,89
2000,77,83,85,69,7.6,24,66,206,57.8,2,88,8.67,89
2015,79,70,71,84,,73,45,150,22.7,21,47,,47
2014,83,74,96,76,0.01,27,28,210,22.1,22,47,4.2,47
2013,64,83,62,69,0.01,73,50,596,21.6,23,23,3.82,23
2012,69,59,100,72,0.01,56,44,141,21.2,23,47,3.62,47
2011,60,84,75,65,1.66,49,24,679,2.7,24,47,3.73,47
2010,78,79,83,58,1.67,42,73,2,2.2,24,46,3.9,45
2009,64,81,59,91,1.56,27,71,11,19.8,25,45,3.58,42
2008,58,61,98,88,1.52,26,19,12,19.4,25,46,4.3,45
2007,63,63,73,94,1.5,36,59,49,19,26,46,4.4,48
2006,54,84,56,87,1.54,26,54,3,18.6,26,47,3.99,51
2005,81,67,89,67,1.5,22,50,471,18.2,26,47,4.29,54
2004,79,67,50,64,1.5,20,27,1233,17.9,26,45,4.1,51
2003,84,77,52,96,1.49,59,69,652,17.5,26,44,4.31,47
2002,63,66,59,83,1.47,54,47,938,17.2,25,42,4.16,44
2001,58,51,76,100,1.52,18,61,2837,16.8,25,4,3.95,4
2000,54,63,88,93,1.51,33,35,3207,16.5,25,38,4.24,37
2015,71,75,97,58,,68,73,418,19.1,77,52,,46
2014,51,65,95,77,0.01,51,48,1275,18.7,78,44,3.62,37
2013,62,73,99,52,0.64,75,65,226,18.2,78,46,3.42,39
2012,57,84,78,68,0.62,43,60,120,17.9,79,51,3,4
2011,65,67,72,78,0.56,50,25,8650,17.5,79,4,3.17,33
2010,56,56,77,57,0.5,37,49,194,17.1,80,43,2.95,39
2009,57,53,51,96,0.47,18,67,165,16.7,80,32,3.31,24
2008,70,55,74,95,0.45,18,44,63,16.4,80,3,2.92,19
2007,62,67,53,56,0.42,53,52,441,16.1,80,38,3.35,28
2006,75,71,62,62,0.41,19,67,1594,15.7,80,49,3.32,4
2005,56,77,77,81,0.42,51,43,2,15.4,79,37,3.91,25
2004,70,62,81,62,0.34,64,38,10324,15.1,78,31,5.72,21
2003,83,83,71,79,0.42,27,57,15801,14.8,77,36,5.49,23
2002,74,85,82,71,0.36,25,48,7277,14.4,76,31,8.33,25
2001,73,52,71,95,0.3,35,38,24908,14.1,75,26,6.9,26
2000,73,60,56,82,0.25,44,56,3546,13.9,74,3,6.28,36
2015,68,56,51,71,,25,22,9,63.8,2,96,,96
2014,85,50,61,86,7.16,50,55,0,63.1,2,95,7.79,95
2013,85,68,55,67,7.2,50,56,0,62.5,2,9,7.53,91
2012,81,63,87,99,6.76,45,19,0,61.8,2,9,7.24,9
2011,65,84,72,100,7.26,75,18,6,61.2,2,93,7,94
2010,84,53,70,51,7.93,30,40,0,6.6,2,92,6.97,92
2009,56,59,74,93,7.67,34,48,1,59.9,2,94,7.39,94
2008,68,55,98,52,7.31,26,22,0,59.3,2,95,6.87,95
2007,54,76,53,82,7.39,31,40,0,58.7,2,95,6.35,96
2006,60,56,71,56,7.33,29,38,0,58.1,2,94,6.18,94
2005,72,80,95,55,7.57,25,48,0,57.4,2,92,6.69,91
2004,59,82,56,68,6.32,50,42,0,56.8,2,94,6.93,93
2003,77,76,72,86,6.37,19,71,1,56.1,2,96,7.34,96
2002,75,53,81,67,6.06,19,39,0,55.4,3,97,6.48,97
2001,84,56,74,81,6.1,46,26,0,54.7,3,96,6.51,97
2000,68,56,64,98,6.24,41,46,0,54,3,91,6.4,91
2015,56,62,83,95,,49,28,42361,32.9,183,99,,99
2014,57,66,100,92,5.78,49,75,52628,31.9,198,99,5.55,99
2013,58,74,74,100,5.79,63,70,26883,3.9,216,99,5.39,99
2012,54,50,71,69,5.74,39,73,6183,3,233,99,5.26,99
2011,50,68,77,52,5.63,39,55,9943,29,251,99,5.3,99
2010,63,63,91,53,5.75,58,67,38159,28.1,268,99,4.89,99
2009,67,66,63,61,4.88,30,42,52461,27.3,288,99,5.8,99
2008,83,71,59,70,4.27,48,52,131441,26.5,308,99,4.59,97
2007,50,65,65,67,3.88,35,57,109023,25.7,332,94,4.32,93
2006,78,72,78,83,3.28,66,25,99602,24.9,360,94,4.52,93
2005,67,78,62,56,2.92,24,65,124219,24.1,392,87,4.66,87
2004,70,76,93,86,3.04,40,73,70549,23.4,427,87,4.72,87
2003,52,72,97,85,2.96,50,44,71879,22.6,467,87,4.82,86
2002,67,75,57,56,2.91,62,35,58341,21.9,511,86,4.79,86
2001,80,76,69,66,2.84,32,43,88962,21.2,558,86,4.56,86
2000,57,58,81,66,3.06,45,71,71093,2.5,608,86,4.6,85
2015,71,68,88,96,,75,74,1,57.9,12,91,,91
2014,80,65,96,73,4.38,52,71,0,57.2,12,9,7.2,9
2013,52,81,73,53,4.41,30,20,1,56.4,13,91,6.84,91
2012,83,64,61,71,4.44,59,61,1,55.7,13,91,6.93,91
2011,58,83,62,58,4.37,58,70,6,55,14,85,6.64,85
2010,61,52,53,51,4.28,29,69,0,54.2,15,88,6.76,88
2009,57,77,72,55,4.34,28,25,0,53.5,15,92,7.1,92
2008,64,66,80,56,4.45,54,49,0,52.8,16,92,6.62,92
2007,78,59,77,74,4.66,35,39,0,52,17,93,6.25,93
2006,79,67,97,62,4.53,64,38,0,51.3,17,94,6.11,93
2005,63,61,87,72,4.38,69,35,0,5.5,18,93,5.82,93
2004,61,68,95,92,4.26,46,70,0,49.8,19,89,5.37,89
2003,56,60,55,60,4.25,72,70,0,49,19,92,5.92,92
2002,82,63,92,91,4.45,68,73,139,48.2,20,83,5.67,81
2001,76,85,58,66,4.43,54,75,3,47.5,21,83,5.96,8
2000,71,75,96,66,4.66,70,54,1,46.7,21,82,5.91,79
2015,71,64,78,63,,73,54,0,24.2,2,92,,91
2014,68,74,82,57,0.01,22,42,0,23.7,2,87,6.75,87
2013,64,80,58,69,0.01,44,53,0,23.2,2,85,6.51,87
2012,77,85,62,95,0.01,47,35,1,22.6,2,85,7.11,86
2011,65,75,81,57,0.12,45,24,3,22.1,2,85,6.1,83
2010,79,69,68,80,0.15,25,64,0,21.6,2,82,5.82,74
2009,58,83,93,55,0.17,57,34,1,21.1,2,84,3.82,83
2008,52,60,87,73,0.12,39,30,0,2.6,2,81,5.13,81
2007,67,77,60,52,0.16,41,54,0,2.1,2,75,4.93,75
2006,68,60,50,75,0.25,70,22,85,19.6,2,69,4.57,69
2005,62,71,50,76,0.24,65,56,912,19.2,2,67,4.32,68
2004,56,85,96,59,0.27,32,53,0,18.8,2,73,3.96,76
2003,68,68,59,89,0.26,24,35,0,18.4,2,8,3.65,8
2002,72,66,81,69,0.08,24,25,0,18,2,98,3.39,89
2001,63,50,62,99,0.08,32,58,0,17.6,2,7,2.86,7
2000,57,84,71,80,0.09,73,36,0,17.3,2,7,3.56,7
2015,85,79,77,64,,64,60,1359,27.4,10,8,,8
2014,73,78,56,76,0.01,51,18,71,26.8,10,9,5.15,9
2013,61,51,54,77,0.01,67,51,124,26.2,10,85,5.9,85
2012,76,67,55,92,0.01,73,28,260,25.6,10,61,3.98,85
2011,58,65,53,55,3.82,75,57,315,25,10,69,2.79,82
2010,82,67,52,62,3.53,60,58,4,24.5,10,72,2.29,74
2009,53,71,88,53,3.47,29,42,1,23.9,11,76,2.27,78
2008,62,81,58,67,2.58,30,26,2,23.3,11,77,2.9,79
2007,75,66,70,66,2.75,25,30,84,22.8,11,71,2.54,72
2006,65,67,78,84,2.25,29,62,126,22.3,12,73,2.37,73
2005,72,53,71,61,2.03,27,67,146,21.7,13,62,2.42,62
2004,85,67,78,84,2.58,43,71,3524,21.2,13,67,2.56,67
2003,72,83,53,69,2.45,31,54,3712,2.7,14,5,2.61,5
2002,85,80,74,82,2.55,24,58,2788,2.3,14,41,2.45,41
2001,73,85,81,97,2.3,69,22,2152,19.8,14,32,2.44,31
2000,85,64,57,62,2.26,55,22,1678,19.3,14,31,2.13,33
2013,83,61,97,64,0.01,61,42,0,82.8,0,98,3.58,98
2015,66,79,86,78,,74,47,0,6.5,1,92,,92
2014,53,59,74,82,3.45,39,29,1,59.5,1,91,9.31,91
2013,82,66,85,96,3.42,42,19,0,58.5,1,95,9.47,95
2012,60,58,60,58,3.34,21,49,0,57.5,1,9,9.56,91
2011,55,71,64,57,3.41,49,26,0,56.5,1,82,9.73,85
2010,63,57,85,90,3.58,29,33,0,55.5,1,93,9.66,88
2009,60,67,66,82,4.07,30,21,0,54.4,1,8,9.69,86
2008,76,52,64,64,4.22,34,36,0,53.4,1,89,9.1,9
2007,53,81,59,71,4.2,40,49,0,52.4,1,89,8.37,89
2006,57,67,61,74,4.15,56,25,0,51.4,1,89,7.82,89
2005,67,63,85,87,4.1,26,59,1,5.3,1,91,7.74,91
2004,74,78,88,56,4.09,30,27,0,49.3,1,9,7.8,9
2003,81,82,83,51,4.04,45,23,1,48.3,1,88,8.45,88
2002,55,56,65,96,4.17,31,33,0,47.3,1,94,8.23,94
2001,61,50,62,83,4.29,22,56,0,46.4,1,92,7.25,91
2000,64,58,88,98,4.34,63,51,0,45.4,1,8,7.12,88
2015,82,50,85,56,,26,35,206,63.7,0,94,,94
2014,78,50,88,84,12.14,49,70,0,63.1,0,95,7.8,95
2013,62,50,91,50,12.39,58,71,0,62.5,0,96,7.83,96
2012,70,74,65,86,11.49,68,46,2,61.9,0,96,7.8,96
2011,59,64,83,68,12.19,38,30,12,61.3,0,96,7.8,96
2010,54,59,78,95,12.1,32,50,7,6.6,0,97,8.25,97
2009,61,84,73,96,12.21,69,39,2,6,0,96,8.18,96
2008,80,63,97,54,12.06,64,46,51,59.4,0,96,7.7,96
2007,51,85,93,99,12.56,46,44,0,58.7,0,96,7.44,96
2006,76,50,98,90,11.83,57,74,1,58.1,0,96,6.95,96
2005,84,83,97,59,11.59,59,19,2,57.5,0,96,6.89,96
2004,77,76,84,95,13.11,75,70,54,56.9,0,96,6.56,96
2003,55,51,87,55,13.78,44,21,19,56.3,0,95,6.35,94
2002,64,84,71,82,13.39,39,43,6,55.8,0,95,6.19,95
2001,76,73,71,85,13.15,38,57,8,55.2,0,94,7.16,94
2000,63,50,65,95,12.73,70,38,9,54.7,0,94,7.66,93
2015,73,82,73,73,,74,67,0,61.4,1,99,,99
2014,81,81,81,55,4.37,19,61,0,6.7,1,99,11.6,99
2013,59,75,73,55,4.18,52,44,0,59.9,1,99,9.48,99
2012,65,50,73,92,4.16,48,72,0,59.2,1,98,8.59,99
2011,67,65,63,64,4.14,32,32,0,58.4,1,99,1.6,97
2010,78,71,62,65,4.13,45,18,0,57.7,1,99,1.19,96
2009,60,84,77,55,4.01,35,55,0,56.9,1,99,11.78,96
2008,79,57,97,93,4.26,74,44,0,56.2,1,99,1.79,95
2007,70,61,57,52,4.13,44,63,0,55.4,1,99,1.42,93
2006,78,68,90,54,4.17,58,63,0,54.6,1,99,7.67,89
2005,71,62,65,59,4.48,59,60,0,53.8,1,99,9.39,89
2004,71,53,93,78,4.38,65,66,0,53,1,98,6.14,88
2003,60,76,74,55,4.39,21,54,0,52.1,1,98,6.31,72
2002,77,56,80,94,4.1,75,49,0,51.3,1,98,6.5,99
2001,63,85,100,76,4.04,55,64,0,5.4,1,99,6.27,98
2000,69,82,83,84,3.92,23,39,0,49.4,1,98,6.7,95
2015,56,82,60,50,,52,75,0,6.3,0,97,,97
2014,63,83,82,92,0.01,70,19,10,59.8,0,99,7.37,99
2013,72,75,55,97,9.04,20,30,0,59.2,0,99,7.46,99
2012,83,58,61,83,10.55,68,57,1,58.7,0,99,7.44,99
2011,80,72,70,68,10.69,58,72,0,58.3,0,99,7.54,99
2010,60,66,52,80,11.32,49,70,18,57.8,0,99,7.23,99
2009,79,80,89,87,10.8,72,72,0,57.3,0,99,7.4,99
2008,68,51,91,74,12.01,30,65,1,56.8,0,97,6.89,97
2007,52,77,61,79,11.56,22,50,0,56.3,0,97,6.5,97
2006,58,84,67,63,11.47,55,20,0,55.8,0,97,6.28,97
2005,69,64,84,98,11.41,18,27,1,55.3,0,98,6.37,98
2004,60,56,56,98,13.03,55,21,0,54.8,0,98,6.42,98
2003,68,71,76,97,10.62,70,74,0,54.3,0,98,6.83,98
2002,70,66,74,90,11.68,37,49,0,53.8,0,98,6.12,98
2001,72,81,50,83,10.16,54,44,0,53.3,0,97,5.78,97
2000,54,69,69,80,9.56,58,30,0,52.8,0,97,5.77,97
2015,80,63,50,82,,68,33,9,66.1,0,97,,97
2014,63,65,95,71,12.68,18,63,222,65.6,0,99,7.41,97
2013,69,62,81,85,12.45,18,71,15,65.1,0,99,7.49,98
2012,75,50,88,94,12.71,37,71,22,64.5,0,99,7.55,99
2011,72,78,51,50,12.43,61,43,17,64,0,99,7.5,99
2010,70,64,67,68,12.69,30,44,0,63.6,0,99,7.43,99
2009,55,72,97,89,13.23,70,64,5,63.1,0,99,7.85,99
2008,71,52,100,61,13.25,24,60,2,62.6,0,99,6.82,99
2007,52,74,97,54,13.43,31,45,2,62.2,0,99,6.52,99
2006,59,84,53,90,13.03,20,35,7,61.8,0,98,6.69,98
2005,75,75,98,90,13.19,63,59,0,61.3,0,96,6.93,97
2004,68,58,80,100,13.24,24,70,17,6.8,0,96,6.9,98
2003,59,79,70,80,13.01,25,20,30,6.4,0,97,7.13,97
2002,74,73,50,50,13.47,48,33,4,59.9,0,97,6.8,98
2001,55,60,72,65,13.36,50,38,6,59.4,0,97,6.42,98
2000,73,52,84,55,13.22,70,25,9,59,0,98,6.31,98
2015,67,64,89,94,,45,31,0,32.9,7,99,,96
2014,84,63,52,61,0.01,44,70,3,32.4,8,99,,93
2013,67,70,95,98,3.35,61,63,0,31.8,8,99,,93
2012,57,80,94,74,3.61,39,48,0,31.3,9,99,,96
2011,77,69,98,56,3.39,31,72,0,3.8,10,99,,94
2010,68,60,94,90,3.12,71,62,0,3.3,10,99,,93
2009,58,57,99,71,3.35,22,69,0,29.7,11,98,,93
2008,69,64,65,95,3.16,67,20,8,29.2,12,98,,92
2007,80,61,81,51,3.13,23,74,3550,28.7,12,99,,92
2006,74,60,80,63,3.28,46,68,0,28.2,12,98,,89
2005,76,75,73,84,3.21,53,51,0,27.7,13,97,,79
2004,61,82,68,92,3.13,73,18,0,27.2,14,99,,72
2003,58,74,61,84,3.13,60,73,0,26.7,15,99,,68
2002,70,57,96,83,3.08,34,46,0,26.2,18,99,,64
2001,70,74,51,52,2.53,48,28,0,25.7,21,98,,62
2000,56,61,81,88,3.52,40,29,0,25.2,25,93,,56
2015,59,78,71,60,,21,39,5020,21.6,308,78,,81
2014,73,69,92,97,0.01,75,49,33711,21.1,312,79,4.33,8
2013,79,75,83,56,0.01,64,38,88381,2.6,314,74,3.89,74
2012,50,67,52,82,0.01,56,27,72029,2.1,317,76,3.77,75
2011,54,50,58,80,1.82,30,19,133802,19.6,319,77,3.53,74
2010,64,71,71,97,1.81,66,63,5407,19.1,321,76,4.4,6
2009,82,80,96,54,2.13,49,19,57,18.6,323,78,5.61,72
2008,69,70,70,71,2.09,40,50,12461,18.2,324,64,4.46,65
2007,64,69,65,79,1.52,20,67,55577,17.8,326,72,3.61,7
2006,78,67,65,60,1.53,34,18,80123,17.3,327,62,3.39,62
2005,78,66,81,99,1.43,57,60,182485,16.9,329,6,3.14,6
2004,61,70,73,90,1.44,42,62,44934,16.5,330,52,3.34,54
2003,70,61,59,62,1.83,64,74,21956,16.1,331,47,3.2,41
2002,81,51,82,52,1.85,26,55,30466,15.7,331,4,2.59,38
2001,55,68,86,87,1.9,49,42,8072,15.3,332,3,2.67,3
2000,63,74,89,62,1.98,31,43,8282,14.9,332,42,1.45,4
2015,50,55,58,75,,49,18,9,58.8,0,93,,93
2014,82,67,95,70,9.64,28,69,27,58.4,0,94,1.8,94
2013,64,71,52,94,9.5,73,39,17,58.1,0,94,11.25,94
2012,55,70,54,94,9.26,48,48,2,57.7,0,94,1.98,94
2011,71,60,85,83,10.47,29,50,84,57.4,0,91,1.87,91
2010,68,74,96,63,10.28,39,71,5,57,0,9,11.8,9
2009,61,63,50,99,10.08,40,51,6,56.6,0,89,11.47,89
2008,60,52,81,56,10.7,36,53,14,56.3,0,88,1.18,88
2007,52,50,67,68,10.99,26,51,2,55.9,0,87,9.99,87
2006,59,58,88,87,11.02,38,21,27,55.4,0,93,9.92,93
2005,68,76,96,63,11.28,44,55,2,55,0,93,9.77,93
2004,79,59,76,92,11.27,18,50,0,54.4,0,95,9.67,95
2003,79,57,60,63,11.54,53,71,0,53.9,0,96,9.51,96
2002,59,76,62,61,11.34,38,63,32,53.3,0,98,9.33,98
2001,79,60,92,87,11.56,53,23,11,52.8,0,97,9.1,97
2000,77,83,62,66,11.69,69,39,14,52.2,0,97,8.7,97
2015,65,53,91,56,,35,18,47,35,1,84,,84
2014,85,83,85,82,0.38,32,59,0,34.4,1,78,1.57,78
2013,68,52,58,81,0.53,69,70,28,33.8,2,82,9.14,82
2012,60,79,66,76,0.52,37,34,709,33.2,2,81,8.95,81
2011,67,76,68,89,0.39,41,68,49,32.7,2,87,8.71,87
2010,72,60,67,58,0.44,41,63,7,32.2,2,88,8.84,88
2009,68,56,80,96,0.49,21,27,48,31.7,2,89,8.37,89
2008,76,81,67,69,0.49,23,59,143,31.3,2,89,8.5,89
2007,62,60,78,73,0.45,33,46,24,3.9,2,88,7.72,88
2006,79,61,54,69,1.02,31,57,49,3.6,2,72,7.5,72
2005,56,75,73,50,1.23,20,31,298,3.2,2,71,7.21,71
2004,52,82,84,92,1.18,46,24,71,29.8,2,64,6.76,64
2003,69,59,76,53,1.02,39,51,37,29.4,2,68,6.22,68
2002,66,53,71,100,1.03,55,63,50,29,2,62,5.45,62
2001,73,76,79,74,0.95,31,18,79,28.6,2,49,5.37,53
2000,57,67,78,81,1.34,40,74,183,28.2,2,46,5.75,46
2013,80,71,59,65,0.01,62,62,0,58.4,0,96,5.58,96
2015,67,65,56,78,,58,39,0,58.9,7,87,,85
2014,74,77,50,63,5.92,47,37,0,57.9,7,9,4.38,91
2013,76,79,94,80,5.93,70,62,0,56.8,7,82,4.12,83
2012,70,68,72,95,5.93,48,65,0,55.8,7,85,4.26,85
2011,57,64,85,64,5.91,32,21,2,54.7,7,84,4.22,84
2010,66,82,62,52,6.02,30,22,0,53.6,8,85,4.6,88
2009,82,55,78,67,6.05,19,71,0,52.6,8,85,4.41,82
2008,70,77,57,61,6.12,28,51,0,51.5,8,86,4.2,82
2007,79,55,75,74,6.05,30,66,0,5.4,8,86,4.34,85
2006,57,82,61,73,6.2,27,42,0,49.3,8,88,4.34,89
2005,77,55,51,64,5.71,25,22,0,48.2,8,86,4.26,87
2004,65,74,58,58,5.16,70,25,0,47.2,8,66,4.28,79
2003,71,57,51,50,6.32,31,46,0,46.1,8,65,5.53,79
2002,50,82,75,68,6.43,63,74,0,45.1,8,74,5.79,82
2001,51,78,61,60,6.13,44,54,113,44.1,9,71,5.59,72
2000,76,64,60,100,6.58,68,42,253,43.1,9,71,5.9,78
2015,81,82,63,72,,25,53,0,54.2,7,84,,78
2014,68,53,98,61,3.82,74,53,0,53.5,7,84,9.16,83
2013,60,71,81,70,3.77,47,74,0,52.8,8,87,7.29,87
2012,70,73,75,93,3.92,18,53,72,52.1,8,85,6.48,87
2011,77,74,95,63,3.99,36,75,257,51.4,8,85,5.92,88
2010,51,65,97,97,3.95,40,30,0,5.7,8,88,5.9,91
2009,70,83,96,84,3.87,21,59,0,5,8,91,5.58,94
2008,78,60,85,53,3.76,28,65,1,49.3,9,94,5.66,96
2007,60,65,71,62,3.63,20,66,0,48.6,9,95,5.94,96
2006,65,62,67,70,3.52,51,28,0,47.9,9,92,5.86,96
2005,76,75,97,75,3.54,18,37,0,47.2,9,89,5.87,92
2004,65,58,70,71,3.65,19,25,0,46.5,9,9,6.22,88
2003,69,69,71,56,3.69,53,28,0,45.8,10,97,6.46,87
2002,75,81,58,100,3.88,67,47,0,45.1,10,88,4.62,88
2001,60,58,61,66,4.13,70,42,2,44.3,10,9,3.86,89
